UserId;NodeId;TimeSpent
321;1334;1
321;1334;1
321;1426;4
321;1426;0
322;1334;1
322;1426;32
322;1426;31
322;1354;12
322;1399;0
322;1334;3
321;1334;32
321;1426;13
325;1334;5
325;1426;2
322;1399;8
322;3368;175
322;1334;0
327;1354;33
327;1354;39
328;5373;13
328;1334;88
328;2082;71
323;1406;172
323;1366;17
332;1354;8
332;1399;13
332;1354;4
332;1354;14
332;1354;30
332;1399;9
337;1354;7
337;1354;39
337;1354;5
337;1399;25
341;1354;7
341;1334;7
346;7568;24
346;7545;25
346;7568;1
342;1354;68
342;1399;45
342;1354;1
342;1426;16
343;1334;2
343;1354;50
343;1399;23
343;1354;2
343;1399;20
350;3612;23
350;3612;5
349;1354;12
349;1399;4
351;7563;93
351;1354;64
355;1354;12
355;1334;1
362;1426;4
362;1354;18
366;1334;4
366;1354;7
373;1334;47
373;1354;3
373;1334;7
373;1354;0
373;1334;5
373;1426;13
373;1354;38
373;1399;13
373;1354;86
373;1399;28
373;1354;10
373;1399;40
373;1354;12
373;1399;24
373;1354;2
373;1399;10
373;1354;0
379;1354;4
379;1426;8
379;1354;35
380;1334;30
380;1354;0
380;1399;0
380;1354;0
380;1399;3
380;1354;34
380;1354;72
380;1354;149
380;1399;0
380;1354;46
380;1354;156
380;1354;31
380;1399;0
380;1354;0
380;1354;0
380;1354;11
380;3376;2
380;3915;5
380;1354;11
380;1399;13
385;1426;13
385;1354;8
386;1354;6
386;1399;136
386;1354;109
386;1399;45
386;1354;48
386;1354;0
386;1354;19
386;1399;23
386;1354;10
387;1334;43
387;7568;33
392;1334;10
392;1422;27
392;1335;9
392;3374;65
392;1942;17
392;4340;220
392;4340;12
392;4340;18
392;1334;94
392;3639;2
392;4340;52
392;4776;28
405;1354;17
405;1380;14
405;1380;0
338;3408;46
338;5844;518
338;1354;13
338;1354;28
338;1354;45
338;1399;11
338;1354;16
338;1399;6
398;1334;21
398;1354;19
398;1334;0
411;1354;39
411;1380;3
411;5906;19
411;1354;12
411;1399;16
411;1354;4
